"0","0.0","2","2","0","2.5","0","0","735328","2.44"
"5","0.0","1","2","0","2.5","0","0","735328","0.32"
"9","0.0","1","3","4.0","2.5","5.0","0","735328","0.54"
"5","0.0","2","2","2.0","2.5","3.0","0","735328","1.49"
"1","0.0","1","2","0","2.5","0","0","735328","0.32"
"5","0.0","1","2","3.0","2.5","5.0","0","735328","0.62"
"6","0.0","1","2","7.0","2.5","7.0","0","735328","1.39"
"3","0.0","1","2","0","2.5","0","0","735328","4.99"
"3","0.0","1","2","2.0","2.5","4.0","0","735328","6.82"
"2","1.6002203376462958","0","3","1.0","2","1.0","0","731397","0.36"
"7","3.833660157709832","1","2","0","3","0","1.9439130434782599","731397","18.97"
"2","57.05662844969553","1","3","1.0","1","1.0","0","731397","0.21"
"0","57.05662844969553","0","4","0","2","0","0","731397","0.22"
"3","17.708518713346685","1","1","0","3","0","50.74624999999997","731397","1.99"
"2","0.0","0","1","1.0","1","2.0","0","731397","0.17"
"7","0.0","1","3","8.0","3","8.0","0","731397","0.32"
"3","2.0080273232134096","0","9","1.0","2","3.0","0","731397","0.23"
"4","1.1247764140141907","0","1","3.0","1","1.0","0","731397","0.20"
"4","7.2344729758055895","1","1","3.0","3","2.0","0","731397","0.84"
"1","3.871513800762038","1","1","0","1","0","0","731397","0.18"
"3","6.12246713578193","0","1","0","2","0","2.104285714285714","731397","0.20"
"2","1.433106365455041","0","1","0","1","0","0","731397","0.18"
"5","1.1391224018475756","1","1","4.0","1","4.0","5.212122807017539","731397","0.19"
"4","2.4319426579796524","1","3","0","3","0","0","731397","0.70"
"0","57.05662844969553","1","2","0","1","0","0","731397","0.98"
"6","0.7784925442684063","1","2","3.0","1","2.0","8.355564738291982","731397","0.18"
"3","0.0","1","2","1.0","1","3.0","8.062707595434839","731397","0.19"
"3","3.9867475046436116","1","1","0","2","0","0","731397","0.20"
"8","4.365953866652912","1","4","6.0","3","6.0","8.062707595434839","731397","1.31"
"3","22.84876661890627","1","1","0","1","0","0","731397","0.19"
"5","5.0034446860670165","1","1","2.0","3","2.0","1.7004661016949179","731397","0.35"
"2","1.491506934532533","1","1","1.0","2","1.0","0","731397","0.22"
"4","1.3052323111988182","0","1","0","3","0","0","731397","0.35"
"4","1.8307797169964743","1","1","2.0","1","3.0","0.1552","731397","0.17"
"3","1.9958172999115231","1","1","1.0","2","2.0","8.062707595434839","731397","0.23"
"6","1.9038775254874987","1","1","3.0","2","3.0","8.062707595434839","731397","0.21"
"3","1.7309607578778798","1","1","2.0","1","2.0","8.062707595434839","731397","0.19"
"5","2.541419135850563","0","3","0","3","0","0","731397","10.99"
"5","1.1626250399086056","1","2","3.0","1","3.0","0","731397","0.18"
"0","81.12751659726226","0","1","0","2","0","0","731397","0.23"
"2","1.420003272233291","1","8","0","1","0","0","731397","0.43"
"3","1.9936180619568227","1","1","0","2","0","5.212122807017539","731397","0.21"
"0","1.0830265545109674","0","11","0.0","2","2.0","8.062707595434839","731397","0.40"
"2","108.26217229971822","2","1","0","2","0","0","731397","0.25"
"1","0.0","0","2","0.0","1","4.0","0","731397","0.24"
"1","1.7555388667780611","0","1","0","2","0","0","731397","0.18"
"4","5.231521923846115","1","1","2.0","3","2.0","0","731397","0.32"
"8","1.3872517273189207","1","2","6.0","3","6.0","5.212122807017539","731397","0.32"
"3","1.4348039723147727","0","3","0","2","0","0","731397","0.20"
"2","0.0","1","3","1.0","1","3.0","0","731397","0.19"
"1","1.4348039723147727","1","1","0","1","0","0","731397","0.16"
"5","1.2525179324003826","0","1","10.0","3","10.0","0","731397","0.88"
"5","3.1131839937783523","0","1","0","3","0","0","731397","1.92"
"4","1.1394467691798624","0","1","2.0","2","2.0","9.151292517006802","731397","0.20"
"1","29.7547719152266","0","2","0","1","0","1.778","731397","0.84"
