"2","1","1","0","Common","0","734285","0.81"
"2","0","1","0","Uncommon","0","734285","0.37"
"2","1","1","1","Uncommon","1","734285","0.74"
"3","1","1","2","Rare","3","734285","0.33"
"5","1","2","4","Common","3","734285","0.19"
"2","1","2","2","Common","2","734285","0.18"
"3","1","2","0","Uncommon","0","734285","0.23"
"2","1","1","0","Common","0","734285","0.19"
"4","1","1","0","Mythic Rare","0","734285","4.09"
"4","1","2","0","Uncommon","0","734285","0.23"
"3","1","1","0","Rare","0","734285","0.69"
"3","1","5","0","Uncommon","0","734285","0.23"
"1","1","1","1","Uncommon","1","734285","0.29"
"1","1","1","1","Rare","1","734285","0.73"
"3","1","1","0","Common","0","734285","0.19"
"5","1","2","*","Rare","*","734285","0.26"
"5","1","1","3","Uncommon","3","734285","0.21"
"2","1","2","1","Common","1","734285","0.16"
"5","1","1","3","Uncommon","3","734285","0.23"
"1","1","2","0","Common","0","734285","0.19"
"5","1","2","5","Rare","4","734285","0.60"
"3","2","1","2","Rare","2","734285","0.70"
"0","2","1","0","Rare","0","734285","5.08"
"1","2","2","1","Common","1","734285","0.27"
"3","1","1","2","Common","1","734285","0.19"
"2","1","2","0","Rare","3","734285","0.39"
"4","1","1","2","Common","2","734285","0.17"
"6","1","1","6","Common","6","734285","0.18"
"1","1","5","0","Common","0","734285","0.23"
"6","0","1","4","Uncommon","5","734285","0.21"
"3","1","1","0","Uncommon","0","734285","0.23"
"1","1","4","1","Common","1","734285","0.21"
"2","1","2","0","Common","0","734285","0.29"
"2","1","4","2","Common","2","734285","0.19"
"0","2","1","0","Rare","0","734285","0.32"
"4","1","1","0","Uncommon","0","734285","0.22"
"3","1","1","3","Common","2","734285","0.16"
"2","0","1","0","Common","0","734285","0.18"
"2","1","1","1","Common","1","734285","0.18"
"1","1","2","1","Common","1","734285","0.17"
"2","1","2","0","Common","0","734285","0.35"
"3","1","1","2","Rare","2","734285","2.40"
"4","2","1","3","Mythic Rare","3","734285","7.99"
"4","1","1","2","Common","2","734285","0.19"
"4","1","3","0","Rare","0","734285","0.27"
"2","1","1","1","Common","2","734285","0.18"
"4","1","1","1","Common","6","734285","0.18"
"2","1","7","0","Common","0","734285","0.20"
"5","1","1","4","Common","4","734285","0.21"
"1","1","1","1","Common","1","734285","1.67"
"4","1","2","4","Common","5","734285","0.18"
"2","1","3","*","Uncommon","*","734285","0.21"
"3","1","2","2","Common","3","734285","0.18"
"2","1","1","2","Uncommon","2","734285","0.23"
"4","1","1","5","Common","1","734285","0.17"
"0","0","5","0","Common","0","734285","0.17"
"3","1","1","1","Uncommon","5","734285","0.23"
"5","1","1","2","Rare","2","734285","0.42"
"1","1","2","0","Common","0","734285","0.17"
"1","2","2","0","Common","0","734285","0.23"
"2","1","1","1","Common","2","734285","0.17"
"5","1","1","5","Mythic Rare","1","734285","0.55"
"0","2","1","0","Rare","0","734285","0.35"
"5","1","3","3","Common","3","734285","0.16"
"3","1","1","0","Common","0","734285","0.17"
"3","0","2","0","Uncommon","0","734285","0.23"
"3","1","4","1","Uncommon","3","734285","0.28"
"3","2","3","0","Common","0","734285","0.20"
"1","1","2","0","Common","0","734285","0.23"
"3","1","1","0","Common","0","734285","0.18"
"3","1","2","0","Uncommon","0","734285","0.34"
"6","1","1","4","Uncommon","2","734285","0.20"
"2","1","1","1","Rare","1","734285","0.39"
"1","1","2","0","Mythic Rare","0","734285","4.49"
"3","1","2","0","Rare","0","734285","0.38"
"2","0","1","0","Rare","0","734285","0.33"
"6","1","2","6","Uncommon","9","734285","0.21"
"1","1","2","0","Common","0","734285","0.17"
"5","2","2","0","Uncommon","0","734285","0.25"
"3","1","1","0","Common","0","734285","0.18"
"4","1","1","0","Rare","0","734285","0.37"
"4","1","1","3","Common","2","734285","0.19"
"3","1","1","2","Common","3","734285","0.20"
"3","1","2","2","Common","2","734285","0.18"
"1","1","2","0","Common","0","734285","0.22"
"2","2","1","0","Common","0","734285","0.19"
"3","1","1","5","Mythic Rare","6","734285","1.37"
"2","0","1","0","Uncommon","0","734285","0.22"
"1","1","1","0","Uncommon","0","734285","0.20"
"5","1","1","4","Common","4","734285","0.16"
"2","1","1","0","Common","0","734285","0.20"
"6","1","1","6","Mythic Rare","6","734285","0.68"
"2","1","1","0","Common","0","734285","0.26"
"3","1","2","0","Common","0","734285","0.17"
"2","1","1","0","Common","0","734285","0.16"
"4","1","2","1","Uncommon","1","734285","0.23"
"1","1","4","0","Uncommon","0","734285","0.31"
"3","1","2","1","Common","4","734285","0.17"
"4","1","2","3","Uncommon","2","734285","0.22"
"1","1","1","0","Common","0","734285","0.27"
"3","1","1","3","Common","1","734285","0.19"
"3","1","1","3","Common","1","734285","0.19"
"5","1","1","0","Rare","0","734285","0.44"
"3","1","1","2","Uncommon","2","734285","0.23"
"4","1","1","3","Uncommon","3","734285","0.23"
"4","1","2","1","Common","1","734285","0.17"
"3","0","1","2","Common","3","734285","0.20"
"3","2","1","0","Uncommon","1","734285","0.21"
"4","1","1","2","Common","3","734285","0.18"
"2","1","2","1","Rare","1","734285","2.63"
"5","1","1","0","Common","0","734285","0.19"
"6","1","1","0","Rare","0","734285","1.14"
"3","1","1","0","Uncommon","0","734285","0.21"
"4","1","1","3","Common","2","734285","0.16"
"4","1","1","0","Mythic Rare","13","734285","3.04"
"4","1","1","0","Rare","0","734285","4.83"
"4","0","2","5","Uncommon","5","734285","0.21"
"2","1","2","2","Common","1","734285","0.17"
"3","1","1","0","Common","0","734285","0.48"
"2","1","1","1","Common","1","734285","0.23"
"5","1","1","0","Rare","0","734285","0.47"
"2","1","1","1","Common","1","734285","0.22"
"7","1","1","6","Mythic Rare","6","734285","9.72"
"4","1","2","3","Uncommon","2","734285","0.21"
"3","1","2","0","Common","0","734285","0.17"
"4","1","5","0","Common","0","734285","0.18"
"2","2","3","0","Common","0","734285","0.51"
"3","1","1","0","Mythic Rare","0","734285","99.98"
"4","0","1","0","Mythic Rare","0","734285","3.93"
"5","1","1","4","Uncommon","4","734285","0.21"
"1","1","3","2","Uncommon","2","734285","0.26"
"6","1","1","0","Uncommon","0","734285","0.23"
"1","1","1","0","Common","0","734285","0.19"
"3","1","2","2","Rare","2","734285","1.12"
"1","1","3","0","Rare","0","734285","0.36"
"5","1","1","4","Uncommon","5","734285","0.22"
"4","1","2","0","Uncommon","0","734285","0.23"
"3","1","1","1","Common","2","734285","0.18"
"3","1","4","0","Common","0","734285","0.17"
"4","2","1","0","Rare","0","734285","0.66"
"1","1","1","0","Common","0","734285","0.22"
"3","1","2","0","Uncommon","0","734285","0.23"
"3","1","1","2","Common","3","734285","0.19"
"5","2","1","5","Mythic Rare","5","734285","3.64"
"3","1","1","3","Common","4","734285","0.19"
"2","1","1","2","Common","1","734285","0.18"
"3","1","1","2","Rare","2","734285","3.74"
"1","0","1","0","Common","0","734285","0.27"
"3","1","1","0","Common","0","734285","0.19"
"2","2","1","0","Common","0","734285","0.20"
"2","1","1","0","Common","0","734285","0.19"
"1","1","1","0","Uncommon","0","734285","0.22"
"4","1","1","0","Rare","0","734285","6.84"
"2","1","2","2","Uncommon","2","734285","0.23"
"2","0","2","0","Common","0","734285","0.17"
"3","1","2","0","Common","0","734285","0.22"
"4","1","1","0","Uncommon","0","734285","0.23"
"4","1","1","3","Rare","3","734285","6.26"
"0","2","1","0","Rare","0","734285","0.45"
"5","2","1","0","Uncommon","0","734285","0.42"
"2","1","17","0","Common","0","734285","0.16"
"3","1","2","0","Uncommon","0","734285","0.21"
"3","1","1","2","Uncommon","1","734285","0.22"
"4","1","2","3","Common","3","734285","0.18"
"3","2","3","2","Mythic Rare","2","734285","7.80"
"1","1","1","0","Common","0","734285","0.17"
"5","1","1","1","Uncommon","2","734285","0.23"
"2","1","2","1","Rare","2","734285","0.46"
"8","1","2","0","Mythic Rare","0","734285","3.03"
"1","1","3","0","Common","0","734285","0.23"
"9","1","2","0","Rare","0","734285","1.89"
"3","1","1","2","Uncommon","2","734285","0.23"
"2","2","1","1","Uncommon","1","734285","0.21"
"4","1","2","2","Uncommon","2","734285","0.28"
"4","1","1","4","Rare","2","734285","0.99"
"6","1","2","5","Rare","5","734285","0.33"
"5","1","2","3","Rare","4","734285","0.36"
"5","1","1","2","Common","4","734285","0.18"
"4","2","1","0","Mythic Rare","0","734285","5.99"
"4","1","2","2","Uncommon","2","734285","0.23"
"3","1","1","0","Uncommon","0","734285","0.20"
"2","1","1","0","Common","0","734285","0.18"
"5","1","1","0","Common","0","734285","0.18"
"3","1","2","0","Common","0","734285","0.17"
"6","1","1","0","Rare","0","734285","0.33"
"4","1","2","2","Uncommon","2","734285","0.22"
"2","0","1","0","Uncommon","0","734285","0.21"
"2","1","1","2","Common","2","734285","0.18"
"3","1","2","2","Common","2","734285","0.18"
